Slop	1
example	12.19	12.26	12.20	12.20	12.38
confirm	9.99	10.00	10.39	9.98	9.99
Slop	2
example	42.33	43.54	41.68	41.74	42.01
confirm	21.76	21.76	21.63	21.63	21.70
Slop	3
example	Error!	Error!	Error!	Error!	Error!
confirm	36.32	35.51	35.16	35.55	35.23
Slop	4
example	Error!	Error!	Error!	Error!	Error!
confirm	64.07	63.60	63.35	63.71	63.32
